date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:07	55212/55212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-d7ac%22	http://findmatthew.com/img/slides/themall-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/themall-2.jpg	(from http://findmatthew.com/)
11:02:17	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
11:02:18	79838/79838	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-137de%22	http://findmatthew.com/img/slides/roambi-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/roambi-2.jpg	(from http://findmatthew.com/)
11:02:20	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
11:02:22	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-809%22	http://findmatthew.com/scripts/canvas.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
11:02:37	87638/87638	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-15656%22	http://findmatthew.com/img/slides/walker-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/walker-1.jpg	(from http://findmatthew.com/)
11:02:45	173662/173662	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-2a65e%22	http://findmatthew.com/img/slides/themall-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/themall-0.jpg	(from http://findmatthew.com/)
11:02:46	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
11:03:03	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225e3351db-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
11:03:07	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225e3351db-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
11:03:23	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3351db-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
11:03:25	222492/222492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
11:03:33	178520/178520	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
11:03:33	180492/180492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
11:03:34	179244/179244	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
11:03:38	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-6e29%22	http://findmatthew.com/img/thumb-8.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-8.jpg	(from http://findmatthew.com/style/style.css)
11:03:39	43703/43703	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-aab7%22	http://findmatthew.com/img/thumb-7.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-7.jpg	(from http://findmatthew.com/style/style.css)
11:03:40	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/img/thumb-10.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-10.3f.delayed	(from http://findmatthew.com/style/style.css)
11:03:40	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/img/thumb-11.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-11.40.delayed	(from http://findmatthew.com/style/style.css)
11:03:41	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225cc36b88-247b%22	http://findmatthew.com/img/thumb-12.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-12.41.delayed	(from http://findmatthew.com/style/style.css)
11:03:43	45331/45331	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-b113%22	http://findmatthew.com/img/thumb-9.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-9.jpg	(from http://findmatthew.com/style/style.css)
11:03:48	57249/57249	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-dfa1%22	http://findmatthew.com/img/slides/walker-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/walker-2.jpg	(from http://findmatthew.com/)
11:03:58	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
